,Country,GDP_2025_MillionUSD,CO2_Emissions_2022_Tons
0,United States,30507217.0,4853780240.0
1,China,19231705.0,12667428430.0
2,Germany,4744804.0,673595260.0
3,India,4187017.0,2693034100.0
4,Japan,4186431.0,1082645430.0
5,United Kingdom,3839180.0,340610260.0
6,France,3211292.0,315299470.0
7,Italy,2422855.0,322948740.0
8,Canada,2225341.0,582072950.0
9,Brazil,2125958.0,466770410.0
10,Russia,2076396.0,1909039310.0
11,Spain,1799511.0,254363430.0
12,South Korea,1790322.0,635502970.0
13,Australia,1771681.0,393162550.0
14,Mexico,1692640.0,487774010.0
15,Turkey,1437406.0,481247520.0
16,Indonesia,1429743.0,692236110.0
17,Netherlands,1272011.0,134663630.0
18,Saudi Arabia,1083749.0,607907500.0
19,Poland,979960.0,321954000.0
20,Switzerland,947125.0,36105180

