,type,name,eta,y,g
0,company,company1,28350584588.09031,6302200.8976045055,2.6476885381006925
1,company,company2,105225996213.8737,5818636.9359593345,1.7658630430508195
2,company,company3,113058226722.22931,13395821.436541349,1.5305256140650478
3,company,company4,30061075464.73569,4807566.186222473,1.534270246429743
4,company,company5,20473198280.20215,1437781.3734499223,1.5
5,company,company6,7325911701.850295,3042788.251816374,2.314247332595274
6,company,company7,4709694991.056296,2181890.1530329497,3.465648768921554
7,company,company8,11261880725.521551,7479997.2243506815,1.5
8,company,company9,7495456284.802772,7755176.968250382,1.5
9,company,company10,24288644256.883087,4288542.757991007,1.7083062502067232
